1 	 13   5			[- 400- 310]   2

2 	 7   4			[- 320- 290]   2

3 	 4   5			[- 280]   1

4 	 6   2			[- 290- 280- 250]   3

5 	 2   10			[- 230- 240- 330- 360]   4

6 	 8   12			[- 340- 390]   2

7 	 3   13			[- 270- 350]   2

8 	 6   3			[- 290- 260]   2

9 	 2   9			[- 230- 240- 330]   3

10 	 9   5			[- 360- 300]   2

11 	 7   0			[- 240- 200]   2

12 	 0   6			[- 220- 260- 290]   3

14 	 2   11			[- 250- 310- 390]   3

16 	 11   5			[- 390- 310]   2

18 	 8   13			[- 350]   1

21 	 6   2			[- 320- 240- 230]   3

23 	 13   11			[- 350- 340]   2

24 	 4   13			[- 280- 310- 400]   3

25 	 6   4			[- 290]   1

27 	 1   6			[- 240- 320]   2

28 	 9   10			[- 360]   1

32 	 2   1			[- 230]   1

35 	 5   10			[- 300]   1

40 	 1   0			[- 200]   1

44 	 0   4			[- 220- 260]   2

45 	 1   4			[- 200- 220- 260]   3

46 	 3   6			[- 260- 290]   2

47 	 2   0			[- 210]   1

49 	 5   1			[- 250- 230]   2

50 	 6   0			[- 320- 240- 200]   3

51 	 3   4			[- 260]   1

54 	 0   13			[- 220- 270- 350]   3

55 	 6   11			[- 290- 260- 270- 340]   4

56 	 9   10			[- 360]   1

57 	 1   12			[- 230- 250- 310]   3

58 	 7   3			[- 320- 290- 260]   3

68 	 7   0			[- 240- 200]   2

69 	 10   11			[- 360- 370]   2

75 	 13   11			[- 380- 370]   2

79 	 11   8			[- 340]   1

94 	 12   11			[- 390]   1

95 	 0   1			[- 210- 230]   2

98 	 9   8			[- 370- 340]   2

100 	 0   4			[- 220- 260]   2

